id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
1,1,2,Attempt missed. Mladen Petric (Hamburg) left footed shot from the left side of the box is high and wide to the left. Assisted by Gokhan Tore.,1,2,Hamburg SV,Borussia Dortmund,mladen petric,0
2,2,4,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,1,Borussia Dortmund,Hamburg SV,dennis diekmeier,0
3,3,4,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,1,Borussia Dortmund,Hamburg SV,heiko westermann,0
4,4,7,Foul by Sven Bender (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,sven bender,0
5,5,7,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
6,6,9,Hand ball by Jose Paolo Guerrero (Hamburg).,10,2,Hamburg SV,Borussia Dortmund,jose paolo guerrero,0
7,7,10,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,2,Hamburg SV,Borussia Dortmund,lukasz piszczek,0
8,8,11,Chris Lowe (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,chris lowe,0
9,9,11,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
10,10,13,Foul by Gokhan Tore (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
11,11,14,Sven Bender (Borussia Dortmund) wins a free kick on the left wing.,8,1,Borussia Dortmund,Hamburg SV,sven bender,0
12,12,14,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is close, but misses the top right corner. Assisted by Mario Gotze.",1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
13,13,14,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
14,14,17,"Goal!  Borussia Dortmund 1, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) left footed shot from the left side of the box to the bottom right corner. Assisted by Mario Gotze.",1,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
15,15,19,Attempt blocked. Mats Hummels (Borussia Dortmund) right footed shot from outside the box is blocked.,1,1,Borussia Dortmund,Hamburg SV,mats hummels,0
16,16,20,Foul by Sven Bender (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,sven bender,0
17,17,20,Mladen Petric (Hamburg) wins a free kick in the attacking half.,8,2,Hamburg SV,Borussia Dortmund,mladen petric,0
18,18,20,Attempt blocked. Tomas Rincon (Hamburg) right footed shot from outside the box is blocked.,1,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
19,19,25,Shinji Kagawa (Borussia Dortmund) hits the right post with a right footed shot from the centre of the box. Assisted by Lukasz Piszczek.,1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
20,20,25,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,1,Borussia Dortmund,Hamburg SV,dennis diekmeier,0
21,21,25,Attempt blocked. Ilkay Gundogan (Borussia Dortmund) left footed shot from outside the box is blocked.,1,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,0
22,22,25,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,1,Borussia Dortmund,Hamburg SV,heiko westermann,0
23,23,26,Attempt saved. Mats Hummels (Borussia Dortmund) header from the centre of the box is saved in the centre of the goal. Assisted by Chris Lowe with a cross.,1,1,Borussia Dortmund,Hamburg SV,mats hummels,0
24,24,27,Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,lukasz piszczek,0
25,25,27,Foul by Gokhan Tore (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
26,26,28,Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from the left side of the box misses to the right. Assisted by Kevin Grosskreutz.,1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
27,27,29,"Goal!  Borussia Dortmund 2, Hamburg 0. Mario Gotze (Borussia Dortmund) right footed shot from the centre of the box to the centre of the goal. Assisted by Robert Lewandowski.",1,1,Borussia Dortmund,Hamburg SV,mario gotze,0
28,28,31,Foul by Kevin Grosskreutz (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
29,29,31,Gokhan Tore (Hamburg) wins a free kick on the right wing.,8,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
30,30,32,Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,roman weidenfeller,0
31,31,32,"Corner,  Hamburg. Conceded by Ilkay Gundogan.",2,2,Hamburg SV,Borussia Dortmund,ilkay gundogan,0
32,32,32,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
33,33,33,Foul by Robert Lewandowski (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
34,34,33,Tomas Rincon (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
35,35,36,Attempt missed. Mario Gotze (Borussia Dortmund) right footed shot from the right side of the box is too high.,1,1,Borussia Dortmund,Hamburg SV,mario gotze,0
36,36,36,Foul by Felipe Santana (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,felipe santana,0
37,37,36,Jose Paolo Guerrero (Hamburg) wins a free kick in the attacking half.,8,2,Hamburg SV,Borussia Dortmund,jose paolo guerrero,0
38,38,38,Attempt missed. Gokhan Tore (Hamburg) left footed shot from outside the box is too high.,1,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
39,39,39,Attempt missed. Robert Lewandowski (Borussia Dortmund) header from the left side of the box misses to the right. Assisted by Lukasz Piszczek with a cross.,1,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
40,40,42,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,0
41,41,42,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
42,42,42,"Substitution, Hamburg. Anis Ben-Hatira replaces Jose Paolo Guerrero because of an injury.",7,2,Hamburg SV,Borussia Dortmund,NA,0
43,43,43,"Offside, Borussia Dortmund. Mats Hummels tries a through ball, but Shinji Kagawa is caught offside.",9,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
44,44,45,Attempt missed. Ilkay Gundogan (Borussia Dortmund) right footed shot from the right side of the box misses to the left. Assisted by Mario Gotze following a fast break.,1,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,1
45,45,45,Michael Mancienne (Hamburg) is shown the yellow card.,4,2,Hamburg SV,Borussia Dortmund,michael mancienne,0
46,46,47,Shinji Kagawa (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
47,47,47,"Substitution, Hamburg. Marcell Jansen replaces Eljero Elia.",7,2,Hamburg SV,Borussia Dortmund,NA,0
48,48,47,Foul by Marcell Jansen (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
49,49,48,"Corner,  Borussia Dortmund. Conceded by Tomas Rincon.",2,1,Borussia Dortmund,Hamburg SV,tomas rincon,0
50,50,48,Attempt saved. Kevin Grosskreutz (Borussia Dortmund) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Mario Gotze.,1,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
51,51,49,"Goal!  Borussia Dortmund 3, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) right footed shot from very close range to the bottom right corner following a corner.",1,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
52,52,49,Foul by Chris Lowe (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,chris lowe,0
53,53,50,Tomas Rincon (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
54,54,50,Foul by Tomas Rincon (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
55,55,53,Shinji Kagawa (Borussia Dortmund) wins a free kick on the left wing.,8,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
56,56,53,Foul by Marcell Jansen (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
57,57,54,Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,roman weidenfeller,0
58,58,54,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,1,Borussia Dortmund,Hamburg SV,heiko westermann,0
59,59,54,Attempt blocked. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is blocked. Assisted by Kevin Grosskreutz with a headed pass.,1,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
60,60,55,"Corner,  Borussia Dortmund. Conceded by Marcell Jansen.",2,1,Borussia Dortmund,Hamburg SV,marcell jansen,0
61,61,55,Dennis Diekmeier (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,dennis diekmeier,0
62,62,56,Foul by Sven Bender (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,sven bender,0
63,63,57,Shinji Kagawa (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
64,64,57,"Corner,  Hamburg. Conceded by Felipe Santana.",2,2,Hamburg SV,Borussia Dortmund,felipe santana,0
65,65,59,Foul by Shinji Kagawa (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,shinji kagawa,0
66,66,59,Foul by Dennis Diekmeier (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,dennis diekmeier,0
67,67,60,Mario Gotze (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,mario gotze,0
68,68,60,Anis Ben-Hatira (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,anis benhatira,0
69,69,62,Foul by Tomas Rincon (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
70,70,62,Attempt blocked. Marcell Jansen (Hamburg) left footed shot from long range on the left is blocked.,1,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
71,71,63,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,2,Hamburg SV,Borussia Dortmund,lukasz piszczek,0
72,72,64,Attempt blocked. Michael Mancienne (Hamburg) right footed shot from the centre of the box is blocked. Assisted by Gokhan Tore with a cross.,1,2,Hamburg SV,Borussia Dortmund,michael mancienne,0
73,73,66,Mario Gotze (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,mario gotze,0
74,74,66,"Offside, Hamburg. Tomas Rincon tries a through ball, but Gokhan Tore is caught offside.",9,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
75,75,66,Foul by Gojko Kacar (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
76,76,68,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,0
77,77,68,Gojko Kacar (Hamburg) is shown the yellow card for a bad foul.,4,2,Hamburg SV,Borussia Dortmund,gojko kacar,0
78,78,68,Foul by Tomas Rincon (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
79,79,69,Foul by Ilkay Gundogan (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,0
80,80,69,Tomas Rincon (Hamburg) is shown the yellow card for a bad foul.,4,2,Hamburg SV,Borussia Dortmund,tomas rincon,0
81,81,70,Mladen Petric (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,mladen petric,0
82,82,73,Foul by Kevin Grosskreutz (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
83,83,73,"Offside, Hamburg. Heiko Westermann tries a through ball, but Anis Ben-Hatira is caught offside.",9,2,Hamburg SV,Borussia Dortmund,anis benhatira,0
84,84,73,"Substitution, Hamburg. Robert Tesche replaces Gojko Kacar.",7,2,Hamburg SV,Borussia Dortmund,NA,0
85,85,74,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,gokhan tore,0
86,86,74,"Corner,  Hamburg. Conceded by Chris Lowe.",2,2,Hamburg SV,Borussia Dortmund,chris lowe,0
87,87,74,Foul by Robert Tesche (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,robert tesche,0
88,88,76,Robert Lewandowski (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
89,89,76,"Substitution, Borussia Dortmund. Ivan Perisic replaces Chris Lowe.",7,1,Borussia Dortmund,Hamburg SV,NA,0
90,90,78,"Substitution, Borussia Dortmund. Jakub Blaszczykowski replaces Mario Gotze.",7,1,Borussia Dortmund,Hamburg SV,NA,0
91,91,79,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,2,Hamburg SV,Borussia Dortmund,lukasz piszczek,0
92,92,79,Attempt blocked. Marcell Jansen (Hamburg) header from the centre of the box is blocked. Assisted by Anis Ben-Hatira with a cross.,1,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
93,93,80,"Goal!  Borussia Dortmund 3, Hamburg 1. Robert Tesche (Hamburg) left footed shot from the centre of the box to the bottom left corner following a corner.",1,2,Hamburg SV,Borussia Dortmund,robert tesche,0
94,94,80,Attempt saved. Marcell Jansen (Hamburg) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Gokhan Tore.,1,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
95,95,80,Foul by Heiko Westermann (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,heiko westermann,0
96,96,81,Robert Lewandowski (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
97,97,82,"Attempt missed. Ivan Perisic (Borussia Dortmund) right footed shot from outside the box is close, but misses to the right from a direct free kick.",1,1,Borussia Dortmund,Hamburg SV,ivan perisic,0
98,98,82,Foul by Marcell Jansen (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,marcell jansen,0
99,99,84,Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.,8,1,Borussia Dortmund,Hamburg SV,lukasz piszczek,0
100,100,84,Foul by Robert Lewandowski (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
101,101,84,Dennis Diekmeier (Hamburg) wins a free kick in the defensive half.,8,2,Hamburg SV,Borussia Dortmund,dennis diekmeier,0
102,102,85,Robert Lewandowski (Borussia Dortmund) is shown the yellow card for a bad foul.,4,1,Borussia Dortmund,Hamburg SV,robert lewandowski,0
103,103,86,"Offside, Hamburg. Marcell Jansen tries a through ball, but Dennis Aogo is caught offside.",9,2,Hamburg SV,Borussia Dortmund,dennis aogo,0
104,104,87,Attempt missed. Kevin Grosskreutz (Borussia Dortmund) right footed shot from more than 35 yards is too high.,1,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,0
105,105,87,Foul by Felipe Santana (Borussia Dortmund).,3,1,Borussia Dortmund,Hamburg SV,felipe santana,0
106,106,89,Mladen Petric (Hamburg) wins a free kick on the left wing.,8,2,Hamburg SV,Borussia Dortmund,mladen petric,0
107,107,90,Ilkay Gundogan (Borussia Dortmund) wins a free kick in the attacking half.,8,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,0
108,108,90,"Substitution, Borussia Dortmund. Sebastian Kehl replaces Shinji Kagawa.",7,1,Borussia Dortmund,Hamburg SV,NA,0
109,109,90,"Corner,  Hamburg. Conceded by Sven Bender.",2,2,Hamburg SV,Borussia Dortmund,sven bender,0
110,110,90,Foul by Robert Tesche (Hamburg).,3,2,Hamburg SV,Borussia Dortmund,robert tesche,0
111,1,1,Sascha Molders (FC Augsburg) wins a free kick in the attacking half.,8,1,FC Augsburg,SC Freiburg,sascha molders,0
112,2,1,Foul by Heiko Butscher (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,heiko butscher,0
113,3,2,Attempt saved. Jonas De Roeck (FC Augsburg) header from the centre of the box is saved in the bottom left corner. Assisted by Daniel Baier.,1,1,FC Augsburg,SC Freiburg,jonas de roeck,0
114,4,3,Sascha Molders (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,sascha molders,0
115,5,3,Foul by Mensur Mujdza (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,mensur mujdza,0
116,6,4,Foul by Lorenzo Davids (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,lorenzo davids,0
117,7,4,Yacine Abdessadki (SC Freiburg) wins a free kick in the attacking half.,8,2,SC Freiburg,FC Augsburg,yacine abdessadki,0
118,8,5,Foul by Marcel de Jong (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,marcel de jong,0
119,9,5,Marcel de Jong (FC Augsburg) is shown the yellow card for a bad foul.,4,1,FC Augsburg,SC Freiburg,marcel de jong,0
120,10,5,Mensur Mujdza (SC Freiburg) wins a free kick on the right wing.,8,2,SC Freiburg,FC Augsburg,mensur mujdza,0
121,11,6,Tobias Werner (FC Augsburg) wins a free kick in the attacking half.,8,1,FC Augsburg,SC Freiburg,tobias werner,0
122,12,6,Foul by Julian Schuster (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,julian schuster,0
123,13,7,Foul by Tobias Werner (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,tobias werner,0
124,14,7,Cedric Makiadi (SC Freiburg) wins a free kick in the defensive half.,8,2,SC Freiburg,FC Augsburg,cedric makiadi,0
125,15,9,Oliver Barth (SC Freiburg) wins a free kick in the defensive half.,8,2,SC Freiburg,FC Augsburg,oliver barth,0
126,16,10,Tobias Werner (FC Augsburg) is shown the yellow card for a bad foul.,4,1,FC Augsburg,SC Freiburg,tobias werner,0
127,17,10,Uwe Mohrle (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,uwe mohrle,0
128,18,10,Foul by Heiko Butscher (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,heiko butscher,0
129,19,11,Sascha Molders (FC Augsburg) wins a free kick in the attacking half.,8,1,FC Augsburg,SC Freiburg,sascha molders,0
130,20,11,Foul by Lorenzo Davids (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,lorenzo davids,0
131,21,11,Foul by Heiko Butscher (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,heiko butscher,0
132,22,11,Cedric Makiadi (SC Freiburg) wins a free kick in the attacking half.,8,2,SC Freiburg,FC Augsburg,cedric makiadi,0
133,23,12,Attempt missed. Daniel Caligiuri (SC Freiburg) right footed shot from the right side of the box misses to the left. Assisted by Mensur Mujdza.,1,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
134,24,12,"Corner,  SC Freiburg. Conceded by Uwe Mohrle.",2,2,SC Freiburg,FC Augsburg,uwe mohrle,0
135,25,13,Daniel Baier (FC Augsburg) wins a free kick on the left wing.,8,1,FC Augsburg,SC Freiburg,daniel baier,0
136,26,13,Foul by Oliver Barth (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,oliver barth,0
137,27,14,Attempt missed. Marcel de Jong (FC Augsburg) left footed shot from outside the box is too high following a set piece situation.,1,1,FC Augsburg,SC Freiburg,marcel de jong,0
138,28,15,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,janingwer callsenbracker,0
139,29,15,Johannes Flum (SC Freiburg) wins a free kick in the attacking half.,8,2,SC Freiburg,FC Augsburg,johannes flum,0
140,30,16,Daniel Baier (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,daniel baier,0
141,31,16,Attempt blocked. Cedric Makiadi (SC Freiburg) right footed shot from outside the box is blocked. Assisted by Oliver Barth.,1,2,SC Freiburg,FC Augsburg,cedric makiadi,0
142,32,16,Foul by Daniel Caligiuri (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
143,33,17,"Corner,  FC Augsburg. Conceded by Mensur Mujdza.",2,1,FC Augsburg,SC Freiburg,mensur mujdza,0
144,34,19,Jonas De Roeck (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,jonas de roeck,0
145,35,19,Foul by Daniel Caligiuri (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
146,36,22,Daniel Baier (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,daniel baier,0
147,37,22,Foul by Julian Schuster (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,julian schuster,0
148,38,24,Attempt saved. Marcel Ndjeng (FC Augsburg) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Daniel Baier.,1,1,FC Augsburg,SC Freiburg,marcel ndjeng,0
149,39,28,Tobias Werner (FC Augsburg) wins a free kick on the right wing.,8,1,FC Augsburg,SC Freiburg,tobias werner,0
150,40,28,Attempt saved. Sascha Molders (FC Augsburg) right footed shot from very close range is saved in the centre of the goal. Assisted by Marcel de Jong with a cross.,1,1,FC Augsburg,SC Freiburg,sascha molders,0
151,41,28,Foul by Yacine Abdessadki (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,yacine abdessadki,0
152,42,29,Marcel de Jong (FC Augsburg) wins a free kick in the attacking half.,8,1,FC Augsburg,SC Freiburg,marcel de jong,0
153,43,29,Foul by Oliver Barth (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,oliver barth,0
154,44,29,Oliver Barth (SC Freiburg) is shown the yellow card for a bad foul.,4,2,SC Freiburg,FC Augsburg,oliver barth,0
155,45,31,Marcel Ndjeng (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,marcel ndjeng,0
156,46,31,Foul by Yacine Abdessadki (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,yacine abdessadki,0
157,47,32,Marcel de Jong (FC Augsburg) wins a free kick on the left wing.,8,1,FC Augsburg,SC Freiburg,marcel de jong,0
158,48,32,Foul by Daniel Caligiuri (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
159,49,33,Foul by Jonas De Roeck (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,jonas de roeck,0
160,50,33,Attempt missed. Marcel Ndjeng (FC Augsburg) right footed shot from outside the box misses to the left.,1,1,FC Augsburg,SC Freiburg,marcel ndjeng,0
161,51,33,Oliver Barth (SC Freiburg) wins a free kick in the defensive half.,8,2,SC Freiburg,FC Augsburg,oliver barth,0
162,52,34,"Corner,  FC Augsburg. Conceded by Yacine Abdessadki.",2,1,FC Augsburg,SC Freiburg,yacine abdessadki,0
163,53,35,Attempt missed. Marcel de Jong (FC Augsburg) left footed shot from outside the box is too high. Assisted by Jan-Ingwer Callsen-Bracker following a corner.,1,1,FC Augsburg,SC Freiburg,marcel de jong,0
164,54,35,Foul by Jonas De Roeck (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,jonas de roeck,0
165,55,35,Daniel Caligiuri (SC Freiburg) wins a free kick in the attacking half.,8,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
166,56,36,Attempt blocked. Julian Schuster (SC Freiburg) right footed shot from outside the box is blocked.,1,2,SC Freiburg,FC Augsburg,julian schuster,0
167,57,38,Tobias Werner (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,tobias werner,0
168,58,38,"Corner,  SC Freiburg. Conceded by Lorenzo Davids.",2,2,SC Freiburg,FC Augsburg,lorenzo davids,0
169,59,38,Foul by Cedric Makiadi (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,cedric makiadi,0
170,60,40,Foul by Jonas De Roeck (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,jonas de roeck,0
171,61,40,Daniel Caligiuri (SC Freiburg) wins a free kick in the attacking half.,8,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
172,62,44,Attempt saved. Cedric Makiadi (SC Freiburg) right footed shot from a difficult angle on the left is saved in the bottom left corner. Assisted by Johannes Flum.,1,2,SC Freiburg,FC Augsburg,cedric makiadi,0
173,63,45,Tobias Werner (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,tobias werner,0
174,64,45,"Substitution, FC Augsburg. Axel Bellinghausen replaces Tobias Werner.",7,1,FC Augsburg,SC Freiburg,NA,0
175,65,45,Foul by Julian Schuster (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,julian schuster,0
176,66,48,"Goal!  FC Augsburg 0, SC Freiburg 1. Papiss Demba Cisse (SC Freiburg) right footed shot from outside the box to the bottom left corner. Assisted by Felix Bastians following a fast break.",1,2,SC Freiburg,FC Augsburg,papiss demba cisse,1
177,67,49,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,janingwer callsenbracker,0
178,68,49,Cedric Makiadi (SC Freiburg) wins a free kick in the defensive half.,8,2,SC Freiburg,FC Augsburg,cedric makiadi,0
179,69,51,Marcel Ndjeng (FC Augsburg) wins a free kick on the right wing.,8,1,FC Augsburg,SC Freiburg,marcel ndjeng,0
180,70,51,Foul by Julian Schuster (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,julian schuster,0
181,71,52,Jonas De Roeck (FC Augsburg) wins a free kick in the defensive half.,8,1,FC Augsburg,SC Freiburg,jonas de roeck,0
182,72,52,Foul by Mensur Mujdza (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,mensur mujdza,0
183,73,53,"Corner,  FC Augsburg. Conceded by Oliver Barth.",2,1,FC Augsburg,SC Freiburg,oliver barth,0
184,74,53,"Goal!  FC Augsburg 1, SC Freiburg 1. Sascha Molders (FC Augsburg) header from the centre of the box to the top left corner. Assisted by Axel Bellinghausen with a cross.",1,1,FC Augsburg,SC Freiburg,sascha molders,0
185,75,55,"Goal!  FC Augsburg 1, SC Freiburg 2. Cedric Makiadi (SC Freiburg) header from the centre of the box to the top left corner. Assisted by Mensur Mujdza with a cross.",1,2,SC Freiburg,FC Augsburg,cedric makiadi,0
186,76,57,"Corner,  SC Freiburg. Conceded by Jonas De Roeck.",2,2,SC Freiburg,FC Augsburg,jonas de roeck,0
187,77,57,Attempt blocked. Daniel Caligiuri (SC Freiburg) right footed shot from outside the box is blocked. Assisted by Papiss Demba Cisse.,1,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
188,78,59,Axel Bellinghausen (FC Augsburg) wins a free kick on the left wing.,8,1,FC Augsburg,SC Freiburg,axel bellinghausen,0
189,79,59,Foul by Marcel de Jong (FC Augsburg).,3,1,FC Augsburg,SC Freiburg,marcel de jong,0
190,80,59,Foul by Julian Schuster (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,julian schuster,0
191,81,59,Papiss Demba Cisse (SC Freiburg) wins a free kick in the defensive half.,8,2,SC Freiburg,FC Augsburg,papiss demba cisse,0
192,82,60,Foul by Daniel Caligiuri (SC Freiburg).,3,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
193,83,61,Daniel Caligiuri (SC Freiburg) is shown the yellow card for a bad foul.,4,2,SC Freiburg,FC Augsburg,daniel caligiuri,0
194,84,63,"Corner,  FC Augsburg. Conceded by Heiko Butscher.",2,1,FC Augsburg,SC Freiburg,heiko butscher,0
195,85,68,Attempt saved. Sascha Molders (FC Augsburg) header from the centre of the box is saved in the centre of the goal. Assisted by Daniel Baier with a cross.,1,1,FC Augsburg,SC Freiburg,sascha molders,0
196,86,69,"Substitution, FC Augsburg. Akaki Gogia replaces Marcel Ndjeng.",7,1,FC Augsburg,SC Freiburg,NA,0
