id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
618,45,34,Foul by Timothy Chandler (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,timothy chandler,0
619,46,36,"Attempt missed. Christian Eigler (FC Nurnberg) right footed shot from outside the box is close, but misses to the left. Assisted by Markus Feulner.",1,2,Nurnberg,Hertha Berlin,christian eigler,0
620,47,37,Pierre-Michel Lasogga (Hertha Berlin) wins a free kick on the left wing.,8,1,Hertha Berlin,Nurnberg,pierremichel lasogga,0
621,48,37,Foul by Adrian Ramos (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,adrian ramos,0
622,49,37,Foul by Timothy Chandler (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,timothy chandler,0
623,50,37,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,philipp wollscheid,0
624,51,38,Peter Niemeyer (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,peter niemeyer,0
625,52,38,Hand ball by Markus Mendler (FC Nurnberg).,10,2,Nurnberg,Hertha Berlin,markus mendler,0
626,53,38,Foul by Markus Mendler (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,markus mendler,0
627,54,39,Peter Niemeyer (Hertha Berlin) wins a free kick on the left wing.,8,1,Hertha Berlin,Nurnberg,peter niemeyer,0
628,55,39,Foul by Tomas Pekhart (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,tomas pekhart,0
629,56,40,Foul by Peter Niemeyer (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,peter niemeyer,0
630,57,40,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,2,Nurnberg,Hertha Berlin,almog cohen,0
631,58,41,Foul by Levan Kobiashvili (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
632,59,41,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,timothy chandler,0
633,60,42,Christian Lell (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,christian lell,0
634,61,42,Foul by Christian Eigler (FC Nurnberg).,3,2,Nurnberg,Hertha Berlin,christian eigler,0
635,62,43,Timm Klose (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,timm klose,0
636,63,44,Foul by Adrian Ramos (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,adrian ramos,0
637,64,44,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,philipp wollscheid,0
638,65,45,Foul by Andreas Ottl (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,andreas ottl,0
639,66,45,Foul by Peter Niemeyer (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,peter niemeyer,0
640,67,45,Peter Niemeyer (Hertha Berlin) is shown the yellow card.,4,1,Hertha Berlin,Nurnberg,peter niemeyer,0
641,68,45,"Substitution, Hertha Berlin. Raffael replaces Tunay Torun.",7,1,Hertha Berlin,Nurnberg,NA,0
642,69,45,Almog Cohen (FC Nurnberg) wins a free kick in the attacking half.,8,2,Nurnberg,Hertha Berlin,almog cohen,0
643,70,45,Timothy Chandler (FC Nurnberg) wins a free kick in the defensive half.,8,2,Nurnberg,Hertha Berlin,timothy chandler,0
644,71,46,Foul by Christian Lell (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,christian lell,0
645,72,46,Foul by Levan Kobiashvili (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,levan kobiashvili,0
646,73,46,Tomas Pekhart (FC Nurnberg) wins a free kick on the left wing.,8,2,Nurnberg,Hertha Berlin,tomas pekhart,0
647,74,46,Markus Mendler (FC Nurnberg) wins a free kick on the right wing.,8,2,Nurnberg,Hertha Berlin,markus mendler,0
648,75,47,Foul by Patrick Ebert (Hertha Berlin).,3,1,Hertha Berlin,Nurnberg,patrick ebert,0
649,76,47,Christian Eigler (FC Nurnberg) wins a free kick on the left wing.,8,2,Nurnberg,Hertha Berlin,christian eigler,0
650,77,48,Attempt blocked. Markus Mendler (FC Nurnberg) left footed shot from outside the box is blocked. Assisted by Tomas Pekhart.,1,2,Nurnberg,Hertha Berlin,markus mendler,0
651,78,48,Attempt saved. Almog Cohen (FC Nurnberg) header from the centre of the box is saved in the centre of the goal.,1,2,Nurnberg,Hertha Berlin,almog cohen,0
652,79,49,Maik Franz (Hertha Berlin) wins a free kick in the defensive half.,8,1,Hertha Berlin,Nurnberg,maik franz,0
